AGECL,HHSEX,EDCL,KIDS,MARRIED,HOUSECL,OCCAT2,LIFECL,INCCAT,NWCAT,WSAVED,SPENDMOR,KNOWL,Risk_tolerance
6,2,4,0,2,1,1,5,3,5,2,4,6,0.9201970443349754
6,2,4,0,2,1,1,5,3,5,2,4,6,0.9136178861788617
6,2,4,0,2,1,1,5,3,5,2,4,6,0.9164208456243854
6,2,4,0,2,1,1,5,2,5,2,4,6,0.9408450704225352
6,2,4,0,2,1,1,5,3,5,2,4,6,0.9200385356454721
3,1,2,3,1,2,4,3,2,1,1,2,5,0.0
3,1,2,3,1,2,4,3,2,1,1,2,5,0.0
3,1,2,3,1,2,4,3,2,1,1,2,5,0.0
3,1,2,3,1,2,4,3,2,1,1,2,5,0.0
3,1,2,3,1,2,4,3,2,1,1,2,5,0.0
3,1,2,0,1,2,3,2,4,2,3,4,7,0.6048780487804878
3,1,2,0,1,2,3,2,4,2,3,4,7,0.5391304347826087
3,1,2,0,1,2,3,2,4,2,3,4,7,0.62
3,1,2,0,1,2,3,2,4,2,3,4,7,0.6169154228855721
3,1,2,0,1,2,3,2,4,2,3,4,7,0.40129449838187703
1,1,4,0,1,1,1,2,4,1,3,4,8,0.310267017675818
1,1,4,0,1,1,1,2,4,1,3,4,8,0.3102086858432036
1,1,4,0,1,1,1,2,4,1,3,4,8,0.3102086858432036
1,1,4,0,1,1,1,2,4,1,3,4,8,0.31032537145006583
1,1,4,0,1,1,1,2,4,1,3,4,8,0.31032537145006583
3,1,2,0,1,2,2,2,2,1,1,4,7,0.0
3,1,2,0,1,2,2,2,2,1,1,4,7,0.0
3,1,2,0,1,2,2,2,2,1,1,4,7,0.0
3,1,2,0,1,2,2,2,2,1,1,4,7,0.0
3,1,2,0,1,2,2,2,2,1,1,4,7,0.0
1,1,4,0,2,2,2,1,2,1,3,2,4,0.23076923076923078
1,1,4,0,2,2,2,1,2,1,3,2,4,0.2831541218637993
1,1,4,0,2,2,2,1,2,1,3,2,4,0.23076923076923078
1,1,4,0,2,2,2,1,2,1,3,2,4,0.2805755395683453
1,1,4,0,2,2,2,1,2,1,3,2,4,0.26199261992619927
3,2,2,0,2,2,4,1,1,1,2,1,5,0.0
3,2,2,0,2,2,4,1,1,1,2,1,5,0.0
3,2,2,0,2,2,4,1,1,1,2,1,5,0.0
3,2,2,0,2,2,4,1,1,1,2,1,5,0.0
